buffer_underrun_count,condition,max_latency_ms,mean_first_token_latency_ms,mean_latency_ms,mean_total_generation_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,sample_count,underrun_rate
1867,L0_preload_off,815.510000,81.302711,161.302711,1655.312037,136.455450,323.520665,479.574320,9000,0.207444
472,L1_preload_on,665.510000,81.302711,91.720642,1655.312037,80.000000,173.520665,329.574320,9000,0.052444
