condition,preset,call_id,trial,seed,length_bin,response_note_count,response_duration_sec,t_endpoint_commit_ms,t_infer_start_ms,t_first_token_ready_ms,t_first_midi_queued_ms,t_first_midi_out_ms,t_response_end_ms,endpoint_to_first_midi_ms,first_token_latency_ms,queue_delay_ms,total_generation_ms,buffer_underrun_count,buffer_underrun_rate,preload_window_ms,micro_buffer_ms,source_latency_event
L1_preload_on,pentatonic_no_theory,A01,12,31272770,medium,12,4.800000,0.000000,-150.000000,-99.084700,0.000000,80.000000,4880.000000,80.000000,50.915300,80.000000,798.598000,0,0.000000,150.000000,80.000000,12
L0_preload_off,pentatonic_no_theory,A01,13,31273779,medium,12,4.800000,0.000000,0.000000,62.621300,62.621300,142.621300,4942.621300,142.621300,62.621300,80.000000,1273.680000,0,0.000000,0.000000,80.000000,13
L1_preload_on,pentatonic_no_theory,A01,13,31273779,medium,12,4.800000,0.000000,-150.000000,-87.378700,0.000000,80.000000,4880.000000,80.000000,62.621300,80.000000,1273.680000,0,0.000000,150.000000,80.000000,13
L0_preload_off,pentatonic_no_theory,A01,14,31274788,medium,9,4.800000,0.000000,0.000000,50.286000,50.286000,130.286000,4930.286000,130.286000,50.286000,80.000000,771.191000,0,0.000000,0.000000,80.000000,14
L1_preload_on,pentatonic_no_theory,A01,14,31274788,medium,9,4.800000,0.000000,-150.000000,-99.714000,0.000000,80.000000,4880.000000,80.000000,50.286000,80.000000,771.191000,0,0.000000,150.000000,80.000000,14
L0_preload_off,pentatonic_no_theory,A01,15,31275797,medium,14,4.800000,0.000000,0.000000,55.840200,55.840200,135.840200,4935.840200,135.840200,55.840200,80.000000,782.217000,0,0.000000,0.000000,80.000000,15
L1_preload_on,pentatonic_no_theory,A01,15,31275797,medium,14,4.800000,0.000000,-150.000000,-94.159800,0.000000,80.000000,4880.000000,80.000000,55.840200,80.000000,782.217000,0,0.000000,150.000000,80.000000,15
L0_preload_off,pentatonic_no_theory,A02,1,32261674,medium,10,4.800000,0.000000,0.000000,51.396400,51.396400,131.396400,4931.396400,131.396400,51.396400,80.000000,947.598000,0,0.000000,0.000000,80.000000,16
L1_preload_on,pentatonic_no_theory,A02,1,32261674,medium,10,4.800000,0.000000,-150.000000,-98.603600,0.000000,80.000000,4880.000000,80.000000,51.396400,80.000000,947.598000,0,0.000000,150.000000,80.000000,16
L0_preload_off,pentatonic_no_theory,A02,2,32262683,medium,12,4.800000,0.000000,0.000000,111.945000,111.945000,191.945000,4991.945000,191.945000,111.945000,80.000000,812.949000,1,1.000000,0.000000,80.000000,17
L1_preload_on,pentatonic_no_theory,A02,2,32262683,medium,12,4.800000,0.000000,-150.000000,-38.055000,0.000000,80.000000,4880.000000,80.000000,111.945000,80.000000,812.949000,0,0.000000,150.000000,80.000000,17
L0_preload_off,pentatonic_no_theory,A02,3,32263692,short,8,4.800000,0.000000,0.000000,47.520500,47.520500,127.520500,4927.520500,127.520500,47.520500,80.000000,508.330000,0,0.000000,0.000000,80.000000,18
L1_preload_on,pentatonic_no_theory,A02,3,32263692,short,8,4.800000,0.000000,-150.000000,-102.479500,0.000000,80.000000,4880.000000,80.000000,47.520500,80.000000,508.330000,0,0.000000,150.000000,80.000000,18
L0_preload_off,pentatonic_no_theory,A02,4,32264701,medium,9,4.800000,0.000000,0.000000,47.667900,47.667900,127.667900,4927.667900,127.667900,47.667900,80.000000,1364.639000,0,0.000000,0.000000,80.000000,19
L1_preload_on,pentatonic_no_theory,A02,4,32264701,medium,9,4.800000,0.000000,-150.000000,-102.332100,0.000000,80.000000,4880.000000,80.000000,47.667900,80.000000,1364.639000,0,0.000000,150.000000,80.000000,19
L0_preload_off,pentatonic_no_theory,A02,5,32265710,medium,11,4.800000,0.000000,0.000000,60.622100,60.622100,140.622100,4940.622100,140.622100,60.622100,80.000000,988.241000,0,0.000000,0.000000,80.000000,20
L1_preload_on,pentatonic_no_theory,A02,5,32265710,medium,11,4.800000,0.000000,-150.000000,-89.377900,0.000000,80.000000,4880.000000,80.000000,60.622100,80.000000,988.241000,0,0.000000,150.000000,80.000000,20
L0_preload_off,pentatonic_no_theory,A02,6,32266719,short,8,4.800000,0.000000,0.000000,47.675100,47.675100,127.675100,4927.675100,127.675100,47.675100,80.000000,926.840000,0,0.000000,0.000000,80.000000,21
L1_preload_on,pentatonic_no_theory,A02,6,32266719,short,8,4.800000,0.000000,-150.000000,-102.324900,0.000000,80.000000,4880.000000,80.000000,47.675100,80.000000,926.840000,0,0.000000,150.000000,80.000000,21
L0_preload_off,pentatonic_no_theory,A02,7,32267728,medium,10,4.800000,0.000000,0.000000,49.649000,49.649000,129.649000,4929.649000,129.649000,49.649000,80.000000,909.645000,0,0.000000,0.000000,80.000000,22
L1_preload_on,pentatonic_no_theory,A02,7,32267728,medium,10,4.800000,0.000000,-150.000000,-100.351000,0.000000,80.000000,4880.000000,80.000000,49.649000,80.000000,909.645000,0,0.000000,150.000000,80.000000,22
L0_preload_off,pentatonic_no_theory,A02,8,32268737,medium,12,4.800000,0.000000,0.000000,49.782900,49.782900,129.782900,4929.782900,129.782900,49.782900,80.000000,692.234000,0,0.000000,0.000000,80.000000,23
L1_preload_on,pentatonic_no_theory,A02,8,32268737,medium,12,4.800000,0.000000,-150.000000,-100.217100,0.000000,80.000000,4880.000000,80.000000,49.782900,80.000000,692.234000,0,0.000000,150.000000,80.000000,23
L0_preload_off,pentatonic_no_theory,A02,9,32269746,medium,10,4.800000,0.000000,0.000000,54.482200,54.482200,134.482200,4934.482200,134.482200,54.482200,80.000000,1036.790000,0,0.000000,0.000000,80.000000,24
L1_preload_on,pentatonic_no_theory,A02,9,32269746,medium,10,4.800000,0.000000,-150.000000,-95.517800,0.000000,80.000000,4880.000000,80.000000,54.482200,80.000000,1036.790000,0,0.000000,150.000000,80.000000,24
L0_preload_off,pentatonic_no_theory,A02,10,32270755,medium,11,4.800000,0.000000,0.000000,56.782300,56.782300,136.782300,4936.782300,136.782300,56.782300,80.000000,696.534000,0,0.000000,0.000000,80.000000,25
L1_preload_on,pentatonic_no_theory,A02,10,32270755,medium,11,4.800000,0.000000,-150.000000,-93.217700,0.000000,80.000000,4880.000000,80.000000,56.782300,80.000000,696.534000,0,0.000000,150.000000,80.000000,25
L0_preload_off,pentatonic_no_theory,A02,11,32271764,medium,11,4.800000,0.000000,0.000000,51.532900,51.532900,131.532900,4931.532900,131.532900,51.532900,80.000000,979.367000,0,0.000000,0.000000,80.000000,26
L1_preload_on,pentatonic_no_theory,A02,11,32271764,medium,11,4.800000,0.000000,-150.000000,-98.467100,0.000000,80.000000,4880.000000,80.000000,51.532900,80.000000,979.367000,0,0.000000,150.000000,80.000000,26
L0_preload_off,pentatonic_no_theory,A02,12,32272773,medium,11,4.800000,0.000000,0.000000,45.944400,45.944400,125.944400,4925.944400,125.944400,45.944400,80.000000,956.505000,0,0.000000,0.000000,80.000000,27
L1_preload_on,pentatonic_no_theory,A02,12,32272773,medium,11,4.800000,0.000000,-150.000000,-104.055600,0.000000,80.000000,4880.000000,80.000000,45.944400,80.000000,956.505000,0,0.000000,150.000000,80.000000,27
L0_preload_off,pentatonic_no_theory,A02,13,32273782,medium,10,4.800000,0.000000,0.000000,46.914600,46.914600,126.914600,4926.914600,126.914600,46.914600,80.000000,1179.219000,0,0.000000,0.000000,80.000000,28
