family,question_id,n_participants,controlled_mean,comparator_mean,mean_difference,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p,cohens_dz
ablation_a0_vs_a4,q1,41,2.902439024390244,3.024390243902439,-0.12195121951219512,-0.3170731707317073,0.06097560975609756,0.2640836795816021,-0.1966044719414682
ablation_a0_vs_a4,q2,41,2.8048780487804876,2.9878048780487805,-0.18292682926829268,-0.3902439024390244,0.024390243902439025,0.11094444527777361,-0.2736196880169909
ablation_a0_vs_a4,q3,41,2.792682926829268,2.8780487804878048,-0.08536585365853659,-0.2682926829268293,0.0975609756097561,0.4572677136614317,-0.1373513087814819
ablation_a0_vs_a4,q4,41,2.6463414634146343,2.8902439024390243,-0.24390243902439024,-0.43902439024390244,-0.06097560975609756,0.023359883200584,-0.3910458920260691
baseline_motif_vs_a6,q1,41,1.8902439024390243,2.3658536585365852,-0.47560975609756095,-0.6951219512195121,-0.25609756097560976,0.00021999890000549998,-0.6730242733169939
baseline_motif_vs_a6,q2,41,2.0121951219512195,2.207317073170732,-0.1951219512195122,-0.4024390243902439,0.0,0.08506457467712661,-0.2955119402655364
baseline_motif_vs_a6,q3,41,1.8658536585365855,2.292682926829268,-0.4268292682926829,-0.6707317073170732,-0.18292682926829268,0.0019999900000499996,-0.5368976001965767
baseline_motif_vs_a6,q4,41,1.8658536585365855,2.158536585365854,-0.2926829268292683,-0.4878048780487805,-0.0975609756097561,0.009389953050234748,-0.4491162333592857
