item_id,condition_code,condition_label,variant_key,comparison_family,analysis_pair,objective_score,origin,source_dataset,count,mean,std,standard_error,ci_low,ci_high
I001,A,Raw AMT,A0_raw_amt,ablation_a0_vs_a4,P01,0.606993,public_midi_extract,POP909,164,2.823170731707317,0.7982801729189662,0.06233520882292096,2.700993722414392,2.9453477410002424
I002,B,Controlled AMT A4,A4_fallback,ablation_a0_vs_a4,P01,0.694854,public_midi_extract,POP909,164,2.5121951219512195,0.8471374018686523,0.06615031744318364,2.3825404997625794,2.6418497441398596
I003,A,Raw AMT,A0_raw_amt,ablation_a0_vs_a4,P02,0.733935,artificial_stress,calls_50,164,3.067073170731707,0.7017165418049124,0.05479485605656824,2.9596752528608334,3.174471088602581
I004,B,Controlled AMT A4,A4_fallback,ablation_a0_vs_a4,P02,0.73274,artificial_stress,calls_50,164,3.0609756097560976,0.8040932243912369,0.06278913188115925,2.9379089112690253,3.18404230824317
I005,C,Motif Baseline,motif_transform_baseline,baseline_motif_vs_a6,P03,0.832396,public_midi_extract,POP909,164,2.0609756097560976,0.8978168610389778,0.07010771833773853,1.9235644818141302,2.198386737698065
I006,B,Controlled AMT A6,A6_full_controlled,baseline_motif_vs_a6,P03,0.697356,public_midi_extract,POP909,164,1.7195121951219512,0.7393313218925249,0.05773207691101578,1.6063573243763603,1.8326670658675421
I007,C,Motif Baseline,motif_transform_baseline,baseline_motif_vs_a6,P04,0.707656,artificial_stress,calls_50,164,2.451219512195122,0.76185822271521,0.059491132333600906,2.334616892821264,2.5678221315689798
I008,B,Controlled AMT A6,A6_full_controlled,baseline_motif_vs_a6,P04,0.612576,artificial_stress,calls_50,164,2.097560975609756,0.8156409064555954,0.06369085435570149,1.9727269010725812,2.222395050146931
