call_id,origin,source_dataset,category,sub_category,preset,candidate,trial,seed,source_experiment,source_variant,score_version,response_midi_file,response_midi_sha256,previous_objective_score,rescore_abs_drift,objective_score,style_compliance_score,non_style_structural_score,tonality_score,rhythm_score,interval_score,repetition_score,pitch_diversity_score,compression_score,pche,upc,psr,tone_span_ratio,cpr,longest_repeat_run,strong_beat_stable_rate,qualified_note_rate,qualified_rhythm_rate,groove_similarity,cadence_score,max_abs_interval,note_count,duration_seconds
P042,public_midi_extract,POP909,chromatic_outside,two_bar_pop909_piano,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,8,132268957,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3575_response_only.mid,1f98a2a5a1f171e1a06fc94c479fc59d5da9e9a772ff11cef10cc5a2b85e052a,0.718849,0.000000282,0.718849,0.942460,0.556924,1.000000,0.879167,0.526316,0.589474,0.712487,0.342152,1.926121,4.000000,1.000000,0.157895,0.105263,3.000000,1.000000,1.000000,0.950000,0.687500,1.000000,14.000000,20.000000,5.160000
P014,public_midi_extract,POP909,expressive_rubato,two_bar_pop909_bridge,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,6,104266855,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3576_response_only.mid,438b31c72f7171f6db701ef05c82ce947e379248278ac1daeb175e72018b3625,0.831929,0.000000001,0.831929,0.945437,0.749734,1.000000,0.885417,0.457143,1.000000,0.695156,0.952381,1.905639,4.000000,1.000000,0.285714,0.000000,1.000000,1.000000,0.875000,0.875000,0.906250,1.000000,12.000000,8.000000,5.328000
P041,public_midi_extract,POP909,chromatic_outside,two_bar_pop909_piano,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,10,131270972,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3578_response_only.mid,d6aa6169fa5c8c42584e5a3f7fe9b7bb0d1326dda1dad5b85f43381c3f926c17,0.698475,0.000000094,0.698475,0.631393,0.747051,0.666667,0.592593,0.458824,1.000000,0.908839,0.634640,2.107735,5.000000,1.000000,0.294118,0.000000,1.000000,0.000000,1.000000,0.277778,0.500000,1.000000,12.000000,18.000000,5.748000
P044,public_midi_extract,POP909,false_ending_pause,two_bar_pop909_bridge,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,10,134270981,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3579_response_only.mid,aa35dbbbe7a29ba6e08e8a8ad2368e1367de2dc9bf2d6ba8006fb8434de75496,0.862667,0.000000352,0.862667,0.892290,0.841216,1.000000,0.773810,1.000000,0.666667,0.891620,0.764120,2.128085,5.000000,1.000000,0.000000,0.166667,2.000000,1.000000,0.857143,0.714286,0.750000,1.000000,3.000000,7.000000,5.328000
A09,artificial_stress,calls_50,arched_contour,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,14,89274882,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S357_response_only.mid,98a04529d51313f2ee7e73d0adfae2fb9f31564eba8a02ffa455fed7b9bffc0f,0.834420,0.000000041,0.834420,0.824184,0.841832,1.000000,0.630787,0.775000,1.000000,0.682821,0.931677,1.891061,4.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.777778,0.333333,0.781250,1.000000,7.000000,9.000000,4.860000
P011,public_midi_extract,POP909,clear_motif_melody,two_bar_pop909_melody,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,11,101271891,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3585_response_only.mid,784fac78459c910c312f4be090b5df6c795518393cf4405db15f53928a1d5baa,0.715392,0.000000152,0.715392,0.712963,0.717151,0.666667,0.763889,0.850000,0.500000,0.636731,0.938053,1.836592,4.000000,1.000000,0.000000,0.250000,2.000000,0.000000,0.888889,0.777778,0.625000,1.000000,7.000000,9.000000,5.748000
R33,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,8,173269080,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3586_response_only.mid,da4de91eea699faf084013fdeac9a2afc274483ce5c2a783331c76cd1234a36d,0.775345,0.000000123,0.775345,0.749339,0.794177,0.666667,0.840278,0.672727,1.000000,0.775000,0.710317,2.000000,4.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.916667,0.916667,0.687500,1.000000,7.000000,12.000000,5.328000
A04,artificial_stress,calls_50,antecedent_half_cadence,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,5,84265786,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S358_response_only.mid,9eee47653af52214e11cc789d5d4396a3639e123ca1de2c1a29cb165646e0679,0.785720,0.000000458,0.785720,0.771825,0.795781,1.000000,0.520833,0.625000,1.000000,0.682821,0.934579,1.891061,4.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.888889,0.111111,0.562500,1.000000,7.000000,9.000000,5.568000
R08,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,13,148274050,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3590_response_only.mid,bb974d3d88b7e50b780fac05da7f83fab9c9f977729c760ccbcd6c158ce43d04,0.844688,0.000000230,0.844688,0.795635,0.880209,0.666667,0.937500,0.925000,1.000000,0.636731,0.948787,1.836592,4.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.812500,1.000000,5.000000,9.000000,5.328000
R15,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,15,155276089,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3596_response_only.mid,aa147b4add3fb06469ddb5256be6be554a8e01b25e5656eeb8b503ba56d2b8f4,0.865143,0.000000143,0.865143,0.930556,0.817775,1.000000,0.854167,0.742857,0.714286,1.000000,0.863095,2.000000,5.000000,1.000000,0.000000,0.142857,2.000000,1.000000,0.875000,0.875000,0.812500,1.000000,5.000000,8.000000,4.800000
R06,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,15,146276062,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3597_response_only.mid,a6df51f5c44d1fb782e1070e5b1bbfe62cbf561832685619cbe035c4709fe3d5,0.794613,0.000000062,0.794613,0.856718,0.749641,0.833333,0.882440,0.723077,0.692308,0.994942,0.545766,2.005978,5.000000,1.000000,0.000000,0.153846,2.000000,0.500000,1.000000,0.928571,0.718750,1.000000,7.000000,14.000000,5.328000
A09,artificial_stress,calls_50,arched_contour,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,10,89270846,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S359_response_only.mid,54c27afc1c5866367fa64f7531d6a3404134ad2b6b2793dca0eba0416c5a2c33,0.778666,0.000000062,0.778666,0.660354,0.864340,0.666667,0.653409,0.880000,1.000000,0.804310,0.703141,2.231270,5.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.272727,0.687500,1.000000,5.000000,11.000000,5.592000
P008,public_midi_extract,POP909,clear_motif_melody,two_bar_pop909_melody,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,9,98269864,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3602_response_only.mid,4aaadff26d248458a023f770851d8b0dd426f6ee9090500ea0d92cca44b17ec3,0.849754,0.000000495,0.849754,0.910163,0.806010,1.000000,0.811343,0.775000,0.750000,0.898432,0.822055,1.879965,5.000000,1.000000,0.000000,0.125000,2.000000,1.000000,1.000000,0.777778,0.656250,1.000000,7.000000,9.000000,5.688000
A07,artificial_stress,calls_50,sparse_cadential,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,12,87272858,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3604_response_only.mid,b385b5136ec0ce5b244f09e0f9c0b9cc8949c252eb8d650303456f7ca7801c29,0.492513,0.000000277,0.492513,0.689815,0.349640,0.666667,0.715278,0.760000,0.000000,0.092356,0.530612,1.459148,3.000000,1.000000,0.000000,0.400000,3.000000,0.000000,1.000000,0.333333,0.812500,1.000000,5.000000,6.000000,5.748000
P039,public_midi_extract,POP909,chromatic_outside,two_bar_pop909_piano,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,14,129275002,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3605_response_only.mid,17c5b6860d95999de621f7b0b212e7f4feae98cae794bc51d0b59e2b102b4b96,0.766162,0.000000334,0.766162,0.807965,0.735892,1.000000,0.596726,0.523077,1.000000,0.741112,0.689076,2.305958,5.000000,1.000000,0.153846,0.000000,1.000000,1.000000,1.000000,0.071429,0.718750,1.000000,17.000000,14.000000,5.748000
R03,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,12,143273026,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3611_response_only.mid,3c10a0acb3b556df0243cc22c70a0da39665f9f095a2f962b8e2bd2f4aec5642,0.671760,0.000000239,0.671760,0.750992,0.614385,0.666667,0.843750,0.727273,0.254545,0.840312,0.670635,2.188722,5.000000,1.000000,0.000000,0.272727,3.000000,0.000000,1.000000,1.000000,0.531250,1.000000,7.000000,12.000000,5.160000
P040,public_midi_extract,POP909,chromatic_outside,two_bar_pop909_piano,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,3,130263906,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3613_response_only.mid,e3692afabd102a8796317488aafff9627cec6bb236bdebd850913dad092f3397,0.725114,0.000000252,0.725114,0.792371,0.676411,0.777778,0.808424,0.627273,0.909091,0.805494,0.211856,2.229871,5.000000,1.000000,0.045455,0.045455,2.000000,0.333333,1.000000,0.956522,0.468750,1.000000,12.000000,23.000000,5.748000
A04,artificial_stress,calls_50,antecedent_half_cadence,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,4,84264777,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S361_response_only.mid,7118c4942919161cd751c27fbd01e6f99e72024f7fd320ec67706d3d4be1aee4,0.722211,0.000000273,0.722211,0.577381,0.827087,0.666667,0.479167,0.742857,1.000000,0.615312,0.998527,1.811278,4.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.750000,0.125000,0.562500,1.000000,7.000000,8.000000,4.860000
R04,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,11,144272020,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3620_response_only.mid,16f8c25792c12d2bfebafdd781a59f130eabbfed65f0c1285715dced78a5dbf7,0.667984,0.000000297,0.667984,0.975198,0.445519,1.000000,0.947917,0.775000,0.250000,0.001391,0.787062,1.351644,3.000000,1.000000,0.000000,0.375000,2.000000,1.000000,1.000000,1.000000,0.843750,1.000000,7.000000,9.000000,5.328000
P023,public_midi_extract,POP909,chord_arpeggio_polyphonic,two_bar_pop909_piano,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,4,113264864,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3622_response_only.mid,19bd0a811b9d99ccfc9d43a946ef18323d22a14ea884dc4ce5651f74865ce3c6,0.797127,0.000000032,0.797127,0.855159,0.755104,1.000000,0.695833,0.642857,1.000000,0.681285,0.668661,1.889246,4.000000,1.000000,0.142857,0.000000,1.000000,1.000000,0.866667,0.533333,0.687500,1.000000,12.000000,15.000000,5.748000
R09,real_public_dataset,calls_50,real_two_bar_monophonic_major_minor,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,10,149271026,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3625_response_only.mid,ddb9ff416e0be7980f25f59e3e9cddaea4330caeda02b35c1a78be8263112ad3,0.780517,0.000000402,0.780517,0.922619,0.677616,1.000000,0.837500,0.736842,0.684211,0.844830,0.326360,2.183383,5.000000,1.000000,0.105263,0.157895,2.000000,1.000000,1.000000,0.950000,0.562500,1.000000,10.000000,20.000000,5.328000
A01,artificial_stress,calls_50,pentatonic_clear_motif,copied_from_call50,pentatonic_low_temp_no_strongbeat,motif_transform_baseline,9,81269813,legacy_motif_batch_rescored,motif,structural_compliance_v1.1,S3627_response_only.mid,f6665d5eb3cb01c5d6dd3585b2832b66ff7f010ce5e4cf828ae6985327472b51,0.813323,0.000000365,0.813323,0.820011,0.808479,1.000000,0.622024,0.907692,0.846154,0.770741,0.622449,2.270942,5.000000,1.000000,0.000000,0.076923,2.000000,1.000000,1.000000,0.428571,0.437500,1.000000,5.000000,14.000000,5.748000
